,nama,harga,lokasi,perusahaan,rating,terjual
0,SAMSUNG GALAXY A50S RAM 4/64GB GARANSI RESMI 1 TAHUN SEIN - Putih,Rp2.800.000,,,5.0,24 
1,[NEW] SAMSUNG GALAXY J7 PRO garansi resmi 1 th SEIN - Hitam,Rp3.400.000,,,,11 
2,SAMSUNG NOTE 10 PLUS 512GB GARANSI RESMI 1 TAHUN - Aura Glow,Rp10.900.000,,,5.0,20 
3,SAMSUNG GALAXY A50S RAM 4/64GB GARANSI RESMI 1 TAHUN SEIN - Putih,Rp2.800.000,,,5.0,24 
4,[NEW] SAMSUNG GALAXY J7 PRO garansi resmi 1 th SEIN - Hitam,Rp3.400.000,,,,11 
5,SAMSUNG NOTE 10 PLUS 512GB GARANSI RESMI 1 TAHUN - Aura Glow,Rp10.900.000,,,5.0,20 
6,SAMSUNG GALAXY A50S RAM 4/64GB GARANSI RESMI 1 TAHUN SEIN - Putih,Rp2.800.000,,,5.0,24 
7,[NEW] SAMSUNG GALAXY J7 PRO garansi resmi 1 th SEIN - Hitam,Rp3.400.000,,,,11 
8,SAMSUNG NOTE 10 PLUS 512GB GARANSI RESMI 1 TAHUN - Aura Glow,Rp10.900.000,,,5.0,20 
